index,idx,img,filename,img,text,status,lean,Unnamed: 5,Unnamed: 6,url,likely_true,favors_r,benefits_r,important,funny,surprising,reputation_overall,reputation_partyloyalty,reputation_engage,likely_share,real,num_person,biden,trump,valence,arousal,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
20,21,IM_ewXdnRQ5kH6Dfed,f_how a philly mob boss stole the election.jpg,,how a philly mob boss stole the election - and why he may flip on joe biden,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_how a philly mob boss stole the election.jpg,-0.6339875737,1.633774078,1.50284234,0.8310550682,-0.2232026283,0.353110426,0.4305876692,0.2840354107,0.406174476,0.5329345956,-0.5,2,0,0,0,0,16,56.25,73.4,1,25.77,16,6.25,62.5,50,6.25,6.25,0,0,0,6.25,0,0,12.5,6.25,6.25,12.5,12.5,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,6.25,0,0,0,6.25,18.75,0,12.5,0,6.25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,6.25,6.25,0,6.25,0,6.25,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,0,0,0
21,22,IM_et97Mb7S4euYKgt,f_legal battle expected over will left to sitcom character alf.jpg,,legal battle expected over a 96-year old lady's will after she bequeaths $75M to sitcom character ALF,new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_legal battle expected over will left to sitcom character alf.jpg,-1.098849452,-0.004080983192,0.03295590988,-2.205460482,2.917804284,1.716372222,-0.4735942837,-2.344974444,-0.464905663,0.298582035,-0.5,1,0,0,0,0,18,98.87,86.68,4.97,1,18,16.67,66.67,33.33,5.56,5.56,0,0,0,5.56,0,0,5.56,16.67,5.56,0,0,0,5.56,5.56,5.56,0,5.56,0,5.56,0,5.56,0,5.56,0,11.11,0,0,11.11,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,11.11,22.22,0,5.56,16.67,5.56,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,5.56,0,5.56,0,5.56
22,23,IM_eqxpeHNCBCJsIAt,f_maine house democrats vote to allow female genital mutilation.jpeg,,maine house democrats vote to allow female genital mutilation,old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_maine house democrats vote to allow female genital mutilation.jpeg,-1.659764075,1.294281301,1.330783011,1.604257963,-1.007720765,2.672190253,-1.201160713,-0.9137116362,0.5017285954,-1.313232758,-0.5,2,0,0,-1,1,9,98.87,86.68,1,25.77,9,33.33,55.56,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,11.11,11.11,0,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,IM_0vPzQ6Lg0qLU2B7,f_male stripper shot 5 times after showing up in cop costume.jpg,,f_male stripper shot 5 times after showing up at a gang hideout by mistake in a cop costume,new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_male stripper shot 5 times after showing up in cop costume.jpg,-0.3021248859,0.08306741005,0.18302952,-0.972000975,0.9675097652,0.5157845171,-0.8871577358,-1.423284442,-0.9832750707,0.06318588453,-0.5,3,0,0,0,1,19,99,85.38,50.35,1,19,26.32,68.42,36.84,0,0,0,0,0,0,0,0,10.53,26.32,0,0,0,0,0,5.26,5.26,0,5.26,0,5.26,0,5.26,0,0,0,10.53,0,5.26,0,5.26,5.26,0,0,5.26,0,0,0,5.26,5.26,0,0,0,0,0,0,0,15.79,5.26,0,10.53,0,0,0,0,0,26.32,0,15.79,10.53,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26
24,25,IM_8ljOptB8zLKDwZD,f_mcconnell to cosponsor bill aimed at restricting voting rights to landowners.jpg,,mcconnell to co-sponsor bill aimed at restricting voting rights to landowners,new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_mcconnell to cosponsor bill aimed at restricting voting rights to landowners.jpg,-0.8504807492,-0.47395661,-0.3746740437,1.037738203,-0.2079158819,0.971816092,-0.291403534,0.2444082369,0.6895583394,-0.7585386347,-0.5,2,0,1,1,0,12,99,50,1.79,25.77,12,33.33,41.67,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0
25,26,IM_3VL49EaROc95iMB,f_michelle obama thinks she deserves supreme court.jpg,,michelle obama thinks she and her husband deserves SCOTUS appointments,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_michelle obama thinks she deserves supreme court.jpg,-0.7412543826,-1.05221311,-0.9702993596,-0.2956067574,0.5607793388,0.4865519,0.03719667023,-0.3156937362,0.05219553386,-0.790927685,-0.5,11,1,0,0,0,10,25.89,99,1,25.77,10,40,50,30,20,20,0,0,0,20,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,30,10,0,20,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,IM_a60Z27ZsqIrvq7z,f_miller voted trump admins sexiest man.jpg,,"stephen miller voted trump administration's ""sexiest man""",new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_miller voted trump admins sexiest man.jpg,-1.278416173,0.188481501,0.1294185239,-2.4666874,2.265306775,1.165067808,-1.637063843,-1.588642459,-2.134684498,-1.85145411,-0.5,1,0,0,0,0,7,93.26,92.33,1,25.77,7,42.86,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,42.86,0,0,0,0,0,0,0,28.57,14.29,0,0
27,28,IM_8f5jAlQjxfG5aTz,f_more proof postal workers busted dumping mail.jpg,,more proof! postal workers busted dumping mail in this state,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_more proof postal workers busted dumping mail.jpg,0.1237437211,1.132132532,1.062225141,1.185678439,-0.5562743452,-0.1869429805,0.1398674699,0.7308418778,0.9093958729,1.146558607,-0.5,0,0,0,0,0,10,93.26,84.14,43.37,1,5,20,70,20,10,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,10,0,0,10,10,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
28,29,IM_b950E7cqSfrOlVj,f_musk offers to buy and then delete facebook.jpg,,elon musk offers to buy and then delete facebook,old pre-test recycle,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_musk offers to buy and then delete facebook.jpg,-0.8561557827,0.5250137403,0.4433683205,0.5848446292,1.582645405,0.9550881431,0.9585544233,0.2866704152,1.531577572,2.576162264,-0.5,1,0,0,0,0,9,75.9,98.62,4.97,25.77,9,11.11,77.78,33.33,0,0,0,0,0,0,0,0,0,11.11,0,0,22.22,0,11.11,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,11.11,11.11,11.11,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,IM_6KypNHpIfIEHSMl,f_new evidence dominion voting software was used by china to rig election.jpg,,bombshell new evidence: dominion voting software was used by china to rig election for...,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_new evidence dominion voting software was used by china to rig election.jpg,-0.8256027892,2.069152153,1.982842492,1.569338968,-0.4782364106,0.4340536712,-0.7322981208,0.3660256272,0.2559562702,-0.2249934597,-0.5,3,1,0,1,1,14,99,50,13.15,25.77,14,35.71,57.14,28.57,0,0,0,0,0,0,0,0,0,21.43,7.14,0,0,0,21.43,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,28.57,21.43,0,7.14,0,0,0,0,0,0,0,0
30,31,IM_eOEvcA7lBBQ7v5r,f_new mutated coronavirus in australia.jpg,,new mutated coronavirus in australia! The next phase of the false flag is here!,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_new mutated coronavirus in australia.jpg,-0.2712990194,0.1928408103,0.1929471886,0.712816628,-0.6890924907,-0.2262032835,-0.8657428226,-1.0885534,-0.6119711411,-0.2041903439,-0.5,0,0,0,-1,1,14,99,50,52.86,25.77,7,21.43,57.14,42.86,0,0,0,0,0,0,0,0,14.29,14.29,7.14,7.14,0,0,7.14,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,21.43,0,7.14,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0
31,32,IM_2o9wBhxJ6UGQOSp,f_nj brother and sister allowed to marry.jpg,,new jersey brother and sister allowed to marry after 10-year-long court battle,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_nj brother and sister allowed to marry.jpg,-0.7955583438,-0.2692350806,-0.2546446046,-1.115364686,0.4235752367,1.846228036,-2.243764043,-2.062864844,-1.448722999,-1.724598584,-0.5,2,0,0,1,0,14,97.73,98.33,89.63,1,14,14.29,78.57,21.43,0,0,0,0,0,0,0,0,0,14.29,0,0,7.14,0,0,14.29,7.14,0,7.14,0,7.14,0,7.14,0,7.14,0,21.43,21.43,0,7.14,7.14,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,35.71,21.43,0,14.29,0,0,0,0,0,28.57,0,7.14,21.43,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0
32,33,IM_7WgkjANzY64iHIN,f_obama bashes rush after cancer diagnosis.jpg,,"obama bashes rush after cancer diagnosis: ""I hope he suffers"" ",old pre-test recycle,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_obama bashes rush after cancer diagnosis.jpg,-1.392690236,1.418030272,1.585398757,-0.699931116,-0.2884509357,1.620601012,-1.106315553,-0.5189822076,-1.0240777,-1.37776762,-0.5,2,0,0,-1,0,10,78.3,50,43.37,25.77,10,20,80,30,20,20,10,0,0,10,0,0,0,10,0,0,0,0,20,10,10,0,0,0,20,10,10,0,0,10,10,0,0,0,10,20,10,0,10,10,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,20,10,20,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,0,0,0,0,20,0,0,0
33,34,IM_3P2mg4X5KPSRrxP,f_obama i already made america great.jpg,,barack obama: i already made america great again,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_obama i already made america great.jpg,-0.1748123409,-1.566773931,-1.379873254,-1.320006878,0.8474583197,-0.9531118048,0.6079870247,0.8990697284,0.9438268106,-0.07412765039,-0.5,2,0,1,0,0,8,11.86,10.58,99,99,8,25,62.5,37.5,12.5,12.5,12.5,0,0,0,0,0,0,0,0,25,0,0,12.5,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,25,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0
34,35,IM_0ujJrvDOC9h4Xjv,f_omar spits on the tomb of the unknown soldier.jpg,,ilhan omar spits on the tomb of the unknown soldier,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_omar spits on the tomb of the unknown soldier.jpg,-1.105131607,1.731362865,1.8124932,0.3226430259,-0.8998162512,1.498165912,-0.9976806488,-0.2931844864,0.2539284024,-0.9592591977,-0.5,2,0,0,0,0,10,99,50,3.37,25.77,10,20,80,40,0,0,0,0,0,0,0,0,20,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,10,0,0,10,0,0,0,10,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,IM_2oAOFLRo3ch5QRD,f_palin nugent visit white house.jpeg,,"palin & nugent visit white house, tweet ""the real IQ behind the government""",old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_palin nugent visit white house.jpeg,-0.4860227632,-0.1366877244,-0.2156346582,-2.046415768,1.197910413,-0.5884220056,-1.00380885,-0.9319758225,-2.0632752,-2.059048396,-0.5,3,0,0,1,0,12,99,95.2,23.51,25.77,12,8.33,66.67,25,0,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,16.67,8.33,0,8.33,0,0,0,0,0,16.67,8.33,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,33.33,0,8.33,0,0,0,0,0,16.67,0,0,8.33
36,37,IM_2rzuyKmQQcpjJs1,f_pelosi files to have trump tried before un court.jpg,,pelosi files to have trump tried before un court,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_pelosi files to have trump tried before un court.jpg,-0.3660392489,-0.6010875149,-0.3126200022,0.6524040177,0.05423458181,-0.3928922,0.488417361,0.7362680563,0.9696764527,-0.1037968897,-0.5,1,0,0,-1,1,9,98.87,50,4.97,25.77,9,0,44.44,33.33,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,11.11,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,IM_0Oph8r1YoZZ2Ll3,f_pence regrets that trump didnt do more to reverse gay agenda.jpg,,mike pence regrets that trump did'nt do more to reverse territorial gains made by the gay agenda,new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_pence regrets that trump didnt do more to reverse gay agenda.jpg,-0.4880419414,-0.4361336388,-0.4169219625,-0.5726896073,-0.3457096544,-0.2313135382,-0.5889671775,-0.1436587556,-0.6344811632,-1.677636379,-0.5,5,0,0,-1,0,17,97.21,50,1,1,17,17.65,70.59,29.41,5.88,0,0,0,0,0,0,5.88,5.88,11.76,5.88,0,0,0,11.76,11.76,5.88,0,0,5.88,5.88,0,5.88,0,0,5.88,0,0,0,0,0,11.76,0,5.88,5.88,0,0,0,0,0,0,0,5.88,0,0,5.88,0,5.88,0,5.88,0,5.88,0,5.88,5.88,0,5.88,0,5.88,0,0,0,0,5.88,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,5.88,0,0
38,39,IM_cvSfBH4kXVe2ppj,f_planned parenthood announced abort-a-palooza.jpg,,"planned parenthood announced ""abort-a-palooza"" on april 2",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_planned parenthood announced abort-a-palooza.jpg,-1.644144865,0.4077541042,0.3210361584,0.2877103904,-0.1614095884,1.987214347,-2.451638884,-2.076559484,-0.7641078425,-1.534595534,-0.5,0,0,0,0,0,9,99,86.68,58.07,25.77,9,44.44,55.56,22.22,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,0,0,0,0,22.22,22.22,0,0,0
39,40,IM_b8dAWTrjdj7GnBz,f_police told to investigate thousands of fake biden votes.jpg,,police told to investigate thousands of fake biden votes found at wisconsin,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_police told to investigate thousands of fake biden votes.jpg,-0.4173373311,2.304246989,2.378440703,1.34460858,-0.4828188644,-0.4355241084,0.1864818283,0.7744157349,1.117719424,0.4470019255,-0.5,0,0,0,0,0,12,99,79.76,23.51,1,12,25,75,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,16.67,8.33,0,0,8.33,0,8.33,0,8.33,0,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,16.67,0,0,8.33,0,8.33,0,16.67,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,IM_2h3O6YCDOTGFh0V,f_portland to allow furries to defecate mate in dog parks.jpg,,"portland to allow furries to defecate, mate in city dog parks",new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_portland to allow furries to defecate mate in dog parks.jpg,-1.322345083,-0.0007171272738,-0.005205358139,-1.563509488,1.977817045,1.546432746,-1.613663667,-1.421520498,0.006528532851,-1.142356633,-0.5,3,0,0,0,1,11,99,81.84,31.94,25.77,11,27.27,54.55,27.27,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,9.09,0,0,0,0,0,18.18,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0
41,42,IM_eEYYwpVGxN8MzKB,f_president says ca fires made worse by windmills.jpg,,"president says california fires made worse by ""windmills making so much wind""",new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_president says ca fires made worse by windmills.jpg,-0.7568152535,-0.4559112472,-0.6488940633,0.01784233318,0.9763547801,0.4962012178,-0.4867056331,-0.8848343602,-0.9874574679,0.2225957879,-0.5,0,0,0,0,1,12,81.63,79.76,1,1,12,25,66.67,16.67,0,0,0,0,0,0,0,0,0,8.33,0,8.33,8.33,0,25,8.33,8.33,0,0,8.33,8.33,0,8.33,0,0,0,8.33,0,0,0,0,16.67,0,16.67,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,16.67,0,0,8.33,0,8.33,8.33,16.67,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,0,0,0
42,43,IM_cOShquSaAM7NBad,f_prominent dem arrested charged with 6 felonies.jpg,,"prominent dem arrested, charged with 6 felony charges",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_prominent dem arrested charged with 6 felonies.jpg,-0.9015696278,1.979509205,2.249036482,0.989425159,0.4278086795,0.7231021792,-0.2381000484,-0.05407727069,0.5490721065,0.6734399031,-0.5,2,0,1,-1,0,8,99,50,1,25.77,8,50,25,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0
43,44,IM_eRHMvD6CAV2IlJr,f_republican senator unveils plan to send teachers to marine bootcamp.jpeg,,republican senator unveils plan to send all of america's teachers through a marine bootcamp,old pre-test recycle,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_republican senator unveils plan to send teachers to marine bootcamp.jpeg,-1.513487779,-0.328317773,-0.4461747574,0.3195701153,0.5207033989,2.17609553,-0.9826566727,-0.7981163511,0.3461827309,0.1099650909,-0.5,1,0,0,0,1,14,99,76.25,1.06,25.77,14,50,64.29,28.57,0,0,0,0,0,0,0,0,7.14,21.43,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,21.43,0,7.14,14.29,0,0,0,7.14,7.14,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,7.14,0,0
44,45,IM_3vJfKq7h9OpDio5,f_rnc quietly removes supporting american democracy from platform.jpg,,"rnc quietly removes ""supporting american democracy"" from party platform",new since november,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_rnc quietly removes supporting american democracy from platform.jpg,-0.5165717215,-0.9759873934,-1.132103966,0.4178550839,-0.1807114525,0.08306352088,0.3352573357,0.7978345801,0.4810830875,-0.0351120092,-0.5,1,0,1,0,0,9,98.87,86.68,58.07,99,9,66.67,66.67,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,22.22,22.22,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,22.22,0,0,0
45,46,IM_3OgZXOVrVyqPBVb,f_rubio rape victims should be in custody if there is suspicion that they_re planning abortion.jpeg,,"rubio:  ""rape victims should be in custody if there is suspicion that they're planning abortion""",old pre-test recycle,D-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_rubio rape victims should be in custody if there is suspicion that they_re planning abortion.jpeg,-1.001812012,-0.6754285914,-0.8591094057,0.9219003248,-0.8999529299,1.564255413,-1.287539773,-0.6934007645,-0.4598344397,-0.331242888,-0.5,1,0,0,0,0,15,8.69,50,1,1,15,33.33,86.67,53.33,6.67,0,0,0,0,0,0,6.67,0,6.67,26.67,6.67,6.67,0,26.67,0,0,0,0,0,20,0,20,6.67,6.67,0,6.67,0,0,0,0,20,6.67,0,13.33,6.67,0,6.67,0,0,0,0,13.33,0,6.67,13.33,0,13.33,0,6.67,6.67,0,0,0,20,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,6.67,0,0,0,0,13.33,6.67,0,0
46,47,IM_8hThkx2FkUBnx1r,f_russian hackers insert porn pages into married mans browser history.jpg,,russian hackers insert porn pages into married man's browser history,new since november,Neutral,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_russian hackers insert porn pages into married mans browser history.jpg,-1.035268828,-0.1824639936,-0.1535135889,-1.114640518,1.481973184,0.6809167299,-1.691368318,-2.143412892,-1.679381869,-0.290609022,-0.5,2,0,0,0,0,10,98.58,97.69,43.37,25.77,10,50,50,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,10,0,0,0,0,0,0,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0
47,48,IM_bQPWdtSlDk1zlwF,f_saudi arabia forces whatsapp to veil emojis.jpg,,saudi arabia forces whatsapp to veil emojis,new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_saudi arabia forces whatsapp to veil emojis.jpg,-0.6659131808,0.1595247365,0.2259888657,-1.300804442,1.021661284,0.299707138,-1.300820666,-1.259445917,-1.646025283,0.04348534832,-0.5,0,0,0,0,0,7,99,50,1,25.77,7,14.29,42.86,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,49,IM_cViFeDn7C5FJuJf,f_shocking revelation and divorce after obama admits gay.jpg,,"michelle obama files for divorce after shocking revelation; barack obama admits: ""I'm gay!""",new since november,R-leaning,NA,https://www.yourfeed.social/static/images/stimulii/aj/,https://www.yourfeed.social/static/images/stimulii/aj/f_shocking revelation and divorce after obama admits gay.jpg,-1.757278065,1.140511111,1.183061103,-1.08802556,0.7155608554,1.981630731,-1.046322631,-0.6997735181,0.5237820555,-1.318882501,-0.5,2,0,0,1,0,13,93.26,77.92,94.81,1,13,30.77,61.54,23.08,7.69,7.69,7.69,0,0,0,0,0,0,15.38,7.69,0,0,0,15.38,15.38,7.69,0,0,0,7.69,0,7.69,0,0,0,15.38,7.69,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,15.38,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,46.15,0,0,7.69,7.69,0,7.69,0,15.38,7.69,0,0
